block_number,elapsed_time_ms
19476587,91.859198
19476588,479.562193
19476589,220.796258
19476590,538.625312
19476591,95.756594
19476592,348.347185
19476593,820.421193
19476594,2197.162278
19476595,309.564850
19476596,404.006914
19476597,348.689320
19476598,308.689297
19476599,158.237125
19476600,400.277824
19476601,41.195592
19476602,314.620652
19476603,57.411603
19476604,339.609210
19476605,268.172529
19476606,360.670151
19476607,100.690412
19476608,1083.459693
19476609,205.075926
19476610,159.019547
19476611,199.587190
19476612,266.039965
19476613,238.084532
19476614,337.843587
19476615,684.535473
19476616,331.923649
19476617,209.995641
19476618,349.007721
19476619,253.736655
19476620,232.172958
19476621,211.718356
19476622,199.062533
19476623,101.102015
19476624,167.746987
19476625,46.866374
19476626,45.298360
19476627,40.459770
19476628,324.027795
19476629,550.906998
19476630,100.614617
19476631,222.207316
19476632,116.500892
19476633,196.834402
19476634,116.134984
19476635,329.172098
19476636,853.696555
19476637,131.196815
19476638,471.304715
19476639,219.716746
19476640,173.868567
19476641,312.712339
19476642,189.363711
19476643,139.466422
19476644,323.772581
19476645,95.426809
19476646,447.029763
19476647,125.366785
19476648,320.659127
19476649,144.816223
19476650,210.225390
19476651,218.995655
19476652,169.623502
19476653,104.232041
19476654,153.550729
19476655,171.348103
19476656,171.807207
19476657,139.365998
19476658,117.014896
19476659,169.524392
19476660,111.393642
19476661,204.559652
19476662,88.227014
19476663,440.795535
19476664,675.972351
19476665,438.003905
19476666,280.701092
19476667,298.082766
19476668,87.558573
19476669,298.241634
19476670,117.959447
19476671,15.237025
19476672,178.505868
19476673,92.591703
19476674,53.567216
19476675,248.855917
19476676,46.146232
19476677,277.146143
19476678,24.961314
19476679,35.509230
19476680,73.466647
19476681,45.934703
19476682,272.648366
19476683,126.238391
19476684,145.573120
19476685,76.829975
19476686,92.565999
19476687,160.552713
19476688,89.174587
19476689,167.802219
19476690,120.429424
19476691,95.201390
19476692,346.351775
19476693,124.181427
19476694,168.567055
19476695,139.924675
19476696,216.856421
19476697,126.714710
19476698,95.638386
19476699,145.431012
19476700,351.353999
19476701,109.972069
19476702,213.781706
19476703,114.118319
19476704,75.742585
19476705,555.744406
19476706,133.108635
19476707,92.798736
19476708,254.087454
19476709,232.495112
19476710,124.271745
19476711,105.099875
19476712,164.816034
19476713,117.717154
19476714,85.827044
19476715,160.138192
19476716,90.357025
19476717,115.359379
19476718,255.684150
19476719,327.330121
19476720,129.585542
19476721,30.072606
19476722,347.675940
19476723,180.059542
19476724,72.633175
19476725,58.511808
19476726,56.227095
19476727,30.715498
19476728,48.247394
19476729,15.141912
19476730,13.872472
19476731,83.959971
19476732,86.785523
19476733,36.707157
19476734,175.766640
19476735,305.689256
19476736,165.446490
19476737,233.197173
19476738,257.200071
19476739,127.649035
19476740,34.057705
19476741,352.636694
19476742,32.760385
19476743,5.511416
19476744,317.244352
19476745,28.741380
19476746,159.819356
19476747,200.615165
19476748,369.022645
19476749,266.909722
19476750,227.982240
19476751,107.914011
19476752,22.556112
19476753,223.034875
19476754,8.161587
19476755,112.170397
19476756,49.380216
19476757,35.640221
19476758,16.235093
19476759,25.914404
19476760,20.424959
19476761,22.370405
19476762,17.590533
19476763,28.082410
19476764,20.022943
19476765,18.966429
19476766,15.491481
19476767,28.925436
19476768,20.942818
19476769,20.907712
19476770,23.808226
19476771,20.470953
19476772,56.649034
19476773,40.444286
19476774,31.867018
19476775,92.600469
19476776,44.956887
19476777,59.227780
19476778,247.446860
19476779,63.340991
19476780,462.803624
19476781,110.544587
19476782,193.594032
19476783,279.797212
19476784,261.110853
19476785,179.427771
19476786,20.233741
19476787,17.520412
19476788,15.045457
19476789,16.590574
19476790,20.452958
19476791,17.214625
19476792,17.968836
19476793,30.265873
19476794,25.353359
19476795,32.171314
19476796,15.938743
19476797,35.211193
19476798,18.395201
19476799,17.605057
19476800,96.539751
19476801,5.794888
19476802,40.305977
19476803,20.610678
19476804,25.609821
19476805,30.016157
19476806,27.843639
19476807,15.477208
19476808,11.690383
19476809,81.237379
19476810,17.357682
19476811,26.752350
19476812,34.593446
19476813,28.482168
19476814,28.284740
19476815,27.795246
19476816,29.868320
19476817,25.802687
19476818,17.203538
19476819,17.177609
19476820,20.432659
19476821,32.238703
19476822,33.971496
19476823,23.848424
19476824,14.553299
19476825,26.465666
19476826,49.305962
19476827,25.410798
19476828,3.841712
19476829,42.272827
19476830,95.291178
19476831,22.289214
19476832,16.880715
19476833,18.342129
19476834,20.088475
19476835,6.850306
19476836,24.357824
19476837,33.794623
19476838,18.645355
19476839,40.892254
19476840,4.452337
19476841,23.525435
19476842,49.330762
19476843,44.854801
19476844,21.730537
19476845,21.506098
19476846,13.307691
19476847,8.886799
19476848,39.957017
19476849,236.022094
19476850,172.467515
19476851,146.080307
19476852,181.888116
19476853,507.103249
19476854,209.254582
19476855,162.724264
19476856,145.189266
19476857,201.945796
19476858,119.040665
19476859,108.237556
19476860,240.770690
19476861,207.594578
19476862,50.810141
19476863,125.804063
19476864,202.684875
19476865,92.646252
19476866,121.595061
19476867,55.245932
19476868,107.838169
19476869,70.771748
19476870,52.120654
19476871,13.031785
19476872,45.301581
19476873,27.321467
19476874,25.292987
19476875,64.106386
19476876,40.638473
19476877,18.559552
19476878,24.405432
19476879,34.704604
19476880,80.303435
19476881,26.792186
19476882,33.722320
19476883,37.044593
19476884,166.459007
19476885,106.080241
19476886,184.581597
19476887,4.129384
19476888,283.374053
19476889,223.070832
19476890,96.279237
19476891,114.680316
19476892,481.225350
19476893,165.419532
19476894,134.976912
19476895,129.124254
19476896,77.832069
19476897,11.329495
19476898,46.657199
19476899,31.974718
19476900,25.487736
19476901,23.422686
19476902,37.628309
19476903,20.339039
19476904,30.571970
19476905,15.877372
19476906,26.110013
19476907,19.924067
19476908,34.601842
19476909,30.883774
19476910,16.221641
19476911,27.868344
19476912,37.178558
19476913,43.518798
19476914,18.979727
19476915,24.186050
19476916,23.350484
19476917,28.192872
19476918,78.504382
19476919,129.482456
19476920,68.676572
19476921,90.851867
19476922,25.882129
19476923,125.926726
19476924,102.155730
19476925,106.585969
19476926,193.260281
19476927,120.702615
19476928,180.844833
19476929,211.599025
19476930,108.524814
19476931,451.007287
19476932,137.953733
19476933,201.925778
19476934,135.965086
19476935,95.205840
19476936,27.488202
19476937,204.837079
19476938,161.629764
19476939,244.142655
19476940,91.912156
19476941,52.676654
19476942,165.588603
19476943,133.411254
19476944,124.455876
19476945,124.676782
19476946,67.505611
19476947,104.411326
19476948,109.404973
19476949,77.614594
19476950,29.744493
19476951,247.697138
19476952,127.511590
19476953,70.361589
19476954,88.336907
19476955,119.890286
19476956,227.353778
19476957,85.199322
19476958,297.027878
19476959,283.420963
19476960,147.235461
19476961,6.228835
19476962,111.562588
19476963,94.918382
19476964,89.698704
19476965,37.597585
19476966,109.011384
19476967,42.054515
19476968,67.257754
19476969,61.576347
19476970,26.329613
19476971,131.542195
19476972,49.627899
19476973,77.955541
19476974,83.602967
19476975,65.589785
19476976,107.293942
19476977,61.477024
19476978,92.519995
19476979,32.961933
19476980,126.965328
19476981,46.997220
19476982,35.751104
19476983,59.384738
19476984,114.305225
19476985,49.467058
19476986,57.856869
