block_number,elapsed_time_ms
19476587,73.787687
19476588,721.717820
19476589,188.559893
19476590,656.747015
19476591,133.304494
19476592,264.996733
19476593,269.160834
19476594,666.253838
19476595,325.867800
19476596,257.908195
19476597,193.095612
19476598,247.931326
19476599,151.158037
19476600,309.045574
19476601,218.380779
19476602,538.842988
19476603,103.481499
19476604,104.811602
19476605,57.115971
19476606,80.527823
19476607,136.404746
19476608,594.472277
19476609,269.645853
19476610,233.044298
19476611,272.591603
19476612,305.520312
19476613,392.929320
19476614,317.548194
19476615,529.962670
19476616,322.567930
19476617,225.691248
19476618,327.206707
19476619,270.914258
19476620,173.746368
19476621,341.878566
19476622,214.446148
19476623,169.655177
19476624,197.052500
19476625,183.344793
19476626,211.233220
19476627,214.409518
19476628,187.575164
19476629,174.490257
19476630,136.177851
19476631,227.341654
19476632,131.641977
19476633,143.240284
19476634,126.990452
19476635,164.053653
19476636,386.322656
19476637,80.195989
19476638,316.764173
19476639,71.136970
19476640,72.367172
19476641,65.884608
19476642,57.938799
19476643,37.992992
19476644,256.706996
19476645,125.128008
19476646,263.006599
19476647,113.486197
19476648,297.284600
19476649,135.812677
19476650,169.410934
19476651,181.552680
19476652,133.378143
19476653,135.705444
19476654,193.971742
19476655,170.517112
19476656,124.052799
19476657,106.614052
19476658,118.802447
19476659,166.318727
19476660,95.645166
19476661,176.498625
19476662,91.064847
19476663,223.473428
19476664,229.891093
19476665,547.244996
19476666,201.424186
19476667,127.117465
19476668,87.642239
19476669,159.167496
19476670,136.047279
19476671,52.211555
19476672,180.208380
19476673,78.613148
19476674,97.595890
19476675,182.506022
19476676,68.005830
19476677,263.334481
19476678,160.274321
19476679,161.230815
19476680,136.552280
19476681,89.453411
19476682,152.183412
19476683,87.890351
19476684,123.183046
19476685,106.899162
19476686,72.017651
19476687,115.203007
19476688,82.379538
19476689,113.322594
19476690,110.585427
19476691,125.593419
19476692,204.275697
19476693,141.124503
19476694,144.595989
19476695,75.760810
19476696,181.452176
19476697,93.048475
19476698,89.148240
19476699,123.795761
19476700,139.960594
19476701,116.338345
19476702,114.989628
19476703,78.693121
19476704,42.170493
19476705,274.748691
19476706,164.467995
19476707,67.042494
19476708,156.999853
19476709,159.457619
19476710,118.022102
19476711,137.288459
19476712,127.983206
19476713,42.484369
19476714,22.036700
19476715,34.134226
19476716,35.311284
19476717,8.013816
19476718,63.556167
19476719,38.182687
19476720,25.925268
19476721,17.927431
19476722,199.520146
19476723,259.595029
19476724,249.694231
19476725,147.218641
19476726,157.178120
19476727,106.922808
19476728,205.680805
19476729,134.889604
19476730,153.947320
19476731,248.388442
19476732,138.592652
19476733,309.754208
19476734,133.542498
19476735,207.684023
19476736,77.798750
19476737,164.328893
19476738,617.511250
19476739,261.851255
19476740,26.724552
19476741,597.531503
19476742,145.576667
19476743,32.746422
19476744,422.141979
19476745,18.243500
19476746,268.476025
19476747,430.363778
19476748,719.161064
19476749,322.464138
19476750,272.576468
19476751,48.046341
19476752,2.910559
19476753,192.184598
19476754,28.508601
19476755,341.710258
19476756,264.561165
19476757,252.675607
19476758,81.101876
19476759,197.039998
19476760,32.677834
19476761,112.879417
19476762,77.838951
19476763,269.170388
19476764,101.627693
19476765,137.268055
19476766,379.151093
19476767,196.807143
19476768,232.015686
19476769,157.475467
19476770,116.554254
19476771,129.496360
19476772,193.590303
19476773,119.147406
19476774,30.360074
19476775,180.463147
19476776,139.870667
19476777,184.273272
19476778,158.704025
19476779,51.088576
19476780,314.698361
19476781,41.032349
19476782,147.591831
19476783,142.032029
19476784,124.878214
19476785,20.210977
19476786,299.096091
19476787,137.317858
19476788,108.927161
19476789,127.527198
19476790,147.390635
19476791,114.174973
19476792,94.589797
19476793,137.133834
19476794,65.468805
19476795,142.565884
19476796,83.014403
19476797,414.694767
19476798,102.948111
19476799,140.282826
19476800,101.841707
19476801,128.387226
19476802,177.738953
19476803,89.308374
19476804,251.583467
19476805,62.332806
19476806,52.559012
19476807,182.049489
19476808,74.177547
19476809,212.515385
19476810,125.179045
19476811,111.320481
19476812,123.467219
19476813,193.961042
19476814,116.957337
19476815,110.842808
19476816,222.534477
19476817,314.538522
19476818,116.754400
19476819,74.033081
19476820,213.983022
19476821,58.209421
19476822,48.277452
19476823,68.370894
19476824,21.032583
19476825,46.181204
19476826,48.975103
19476827,63.597176
19476828,5.535306
19476829,93.320850
19476830,137.426580
19476831,42.932461
19476832,131.482524
19476833,153.571058
19476834,86.563344
19476835,89.219175
