block_number,elapsed_time_ms
19476587,97.010547
19476588,334.052493
19476589,314.735364
19476590,729.125316
19476591,187.438919
19476592,462.967581
19476593,779.410937
19476594,1985.651367
19476595,429.329405
19476596,483.259560
19476597,308.701239
19476598,307.355786
19476599,212.128460
19476600,447.513006
19476601,159.504702
19476602,81.875786
19476603,51.208222
19476604,359.813676
19476605,208.672791
19476606,489.762895
19476607,79.608927
19476608,441.489602
19476609,214.462602
19476610,111.969850
19476611,107.344930
19476612,125.310253
19476613,177.906529
19476614,178.741912
19476615,217.800954
19476616,167.643761
19476617,123.380396
19476618,165.879741
19476619,193.250349
19476620,245.411015
19476621,292.751228
19476622,160.611932
19476623,97.180868
19476624,124.604829
19476625,147.094802
19476626,140.019426
19476627,157.500112
19476628,252.376907
19476629,545.184280
19476630,101.894331
19476631,209.843817
19476632,130.986837
19476633,59.793287
19476634,61.213598
19476635,57.487371
19476636,585.798786
19476637,156.092086
19476638,470.982919
19476639,227.513162
19476640,223.882267
19476641,433.037682
19476642,269.649042
19476643,149.383456
19476644,327.427737
19476645,125.379655
19476646,438.102528
19476647,147.236940
19476648,418.420947
19476649,205.391896
19476650,187.900761
19476651,171.741663
19476652,119.534017
19476653,129.431927
19476654,282.048693
19476655,133.293768
19476656,192.419137
19476657,126.921988
19476658,152.353874
19476659,325.944478
19476660,106.799916
19476661,241.099579
19476662,86.870722
19476663,396.787623
19476664,566.902598
19476665,735.812564
19476666,314.677247
19476667,257.134196
19476668,160.266904
19476669,340.186235
19476670,121.690752
19476671,26.948817
19476672,257.118237
19476673,130.619844
19476674,70.137816
19476675,233.863145
19476676,62.161183
19476677,468.258134
19476678,168.609889
19476679,153.668499
19476680,220.571449
19476681,218.505420
19476682,390.078739
19476683,110.317378
19476684,147.053191
19476685,89.317305
19476686,62.172853
19476687,180.059760
19476688,95.448990
19476689,109.656165
19476690,189.276613
19476691,46.298084
19476692,434.693569
19476693,194.177141
19476694,136.564571
19476695,151.479732
19476696,187.827066
19476697,35.725352
19476698,37.502333
19476699,34.010171
19476700,81.536197
19476701,182.664422
19476702,203.557820
19476703,108.856915
19476704,99.839489
19476705,568.678616
19476706,309.107309
19476707,109.080612
19476708,195.168021
19476709,350.085698
19476710,128.115105
19476711,137.839473
19476712,240.025046
19476713,148.958191
19476714,78.706317
19476715,252.692641
19476716,95.931638
19476717,101.845769
19476718,250.979122
19476719,306.296302
19476720,121.418256
19476721,60.584372
19476722,423.414888
19476723,344.136352
19476724,301.558704
19476725,156.022862
19476726,189.913365
19476727,86.423676
19476728,162.813776
19476729,81.705438
19476730,92.190193
19476731,136.378456
19476732,79.467605
19476733,264.257470
19476734,158.716881
19476735,235.259666
19476736,71.520746
19476737,132.830522
19476738,644.881037
19476739,123.480604
19476740,23.429754
19476741,396.544036
19476742,48.363265
19476743,9.636321
19476744,172.091627
19476745,13.910543
19476746,156.277594
19476747,166.595731
19476748,239.541998
19476749,178.649841
19476750,197.020552
19476751,83.019921
19476752,27.649159
19476753,127.119445
19476754,5.009593
19476755,200.918299
19476756,284.520244
19476757,195.970172
19476758,57.404300
19476759,194.596158
19476760,52.304518
19476761,97.274769
19476762,101.119333
19476763,147.557229
19476764,102.462278
19476765,108.981506
19476766,367.595301
19476767,213.817491
19476768,442.379069
19476769,125.031852
19476770,63.818158
19476771,79.269983
19476772,233.941664
19476773,98.373270
19476774,131.832635
19476775,237.282198
19476776,230.109277
19476777,236.712283
19476778,127.329027
19476779,37.225521
19476780,312.470630
19476781,63.552143
19476782,139.359409
19476783,235.664379
19476784,172.416094
19476785,95.318295
19476786,292.414290
19476787,99.389314
19476788,69.606535
19476789,220.013538
19476790,137.321230
19476791,154.554357
19476792,107.241928
19476793,210.998579
19476794,77.055226
19476795,146.811904
19476796,120.478184
19476797,226.878706
19476798,59.718752
19476799,33.405674
19476800,48.902644
19476801,35.764207
19476802,94.361731
19476803,44.976544
19476804,74.912789
19476805,27.060836
19476806,42.124826
19476807,67.810377
19476808,23.223185
19476809,117.863513
19476810,44.863197
19476811,51.662039
19476812,69.588991
19476813,81.259727
19476814,55.835884
19476815,28.267515
19476816,55.658081
19476817,70.476870
19476818,49.722772
19476819,33.669071
19476820,60.528904
19476821,28.911835
19476822,42.703264
19476823,246.916730
19476824,100.546544
19476825,220.222488
19476826,226.290031
19476827,246.591129
19476828,5.774957
19476829,305.489209
19476830,205.403109
19476831,100.505901
19476832,130.109990
19476833,170.650533
19476834,71.739278
19476835,77.301985
19476836,176.158152
19476837,224.642119
19476838,130.644739
19476839,305.429667
19476840,71.922076
19476841,131.695289
19476842,365.893014
19476843,293.075005
19476844,116.775454
19476845,105.110222
19476846,266.294953
19476847,88.360073
19476848,435.130323
19476849,171.239245
19476850,176.754682
19476851,177.098137
19476852,359.972321
19476853,536.543344
19476854,182.805774
19476855,322.865442
19476856,156.479496
19476857,151.094218
19476858,86.338967
19476859,125.479358
19476860,222.073054
19476861,211.962274
19476862,178.304613
19476863,119.551538
19476864,196.931614
19476865,96.292106
19476866,140.616911
19476867,93.538065
19476868,101.695108
19476869,114.388490
19476870,398.580402
19476871,150.778544
19476872,129.997331
19476873,136.835663
19476874,155.176717
19476875,308.647579
19476876,183.225629
19476877,158.911489
19476878,329.777617
19476879,177.254330
19476880,337.856877
19476881,91.746309
19476882,138.621304
19476883,114.991345
19476884,196.976314
19476885,223.648940
19476886,228.755915
19476887,5.431678
19476888,275.307077
19476889,279.910670
19476890,182.117225
19476891,152.986086
19476892,498.453050
19476893,169.379008
19476894,148.253454
19476895,209.222137
19476896,136.149274
19476897,58.750545
19476898,237.558024
19476899,296.963255
19476900,154.974943
19476901,150.396546
19476902,188.135191
19476903,122.260544
19476904,143.898993
19476905,82.394322
19476906,123.550272
19476907,125.448427
19476908,240.094689
19476909,131.085261
19476910,78.082800
19476911,201.425035
19476912,341.734262
19476913,154.424630
19476914,137.926377
19476915,68.745560
19476916,119.103840
19476917,178.906923
19476918,152.878706
19476919,157.451711
19476920,124.437454
19476921,114.635469
19476922,93.159955
19476923,177.427253
19476924,209.448466
19476925,132.447180
19476926,152.083110
19476927,215.098788
19476928,186.980766
19476929,192.704447
19476930,158.038548
19476931,581.836611
19476932,155.274813
19476933,238.558931
19476934,156.457552
19476935,139.912467
19476936,14.371409
19476937,218.219510
19476938,175.120439
19476939,117.164782
19476940,37.374410
19476941,12.333431
19476942,97.115353
19476943,62.163037
19476944,32.205787
19476945,32.885620
19476946,25.169192
19476947,48.202000
19476948,34.102462
19476949,25.100435
19476950,11.633653
19476951,76.192601
19476952,53.302887
19476953,41.707819
19476954,58.505026
19476955,30.833235
19476956,62.571140
19476957,60.828324
19476958,131.213211
19476959,109.977734
19476960,51.471353
19476961,11.065866
19476962,115.423023
19476963,68.304377
19476964,74.444042
19476965,43.100435
19476966,52.982815
19476967,25.280354
19476968,36.035391
19476969,32.497703
19476970,12.673461
19476971,36.999092
19476972,21.750807
19476973,57.688255
19476974,210.484358
19476975,235.655334
19476976,217.000022
19476977,135.791579
19476978,272.090366
19476979,142.181066
19476980,364.081631
19476981,128.914603
19476982,142.365301
19476983,141.329730
19476984,233.136220
19476985,143.322388
19476986,99.230830
19476987,313.132220
19476988,142.913198
19476989,148.638007
19476990,131.625383
19476991,98.609354
19476992,361.294757
19476993,85.216571
19476994,234.664489
19476995,240.429887
19476996,152.667308
19476997,206.545154
19476998,112.410997
19476999,117.229093
19477000,345.459275
19477001,190.809735
19477002,475.882119
19477003,291.082602
19477004,184.358799
19477005,112.748628
19477006,180.163173
19477007,289.258481
19477008,120.268804
19477009,454.930585
19477010,77.773026
19477011,149.532391
19477012,125.125804
19477013,186.480322
19477014,125.826343
19477015,317.945562
19477016,175.927442
19477017,148.285351
19477018,201.156715
19477019,255.387951
19477020,153.241668
19477021,105.728616
19477022,209.730597
19477023,150.578877
19477024,285.856738
19477025,92.418401
19477026,81.383080
19477027,250.618390
19477028,227.387238
19477029,199.487174
19477030,742.506365
19477031,112.723511
19477032,207.434878
19477033,195.566297
19477034,217.256448
19477035,161.273719
19477036,17.819462
19477037,201.323408
19477038,86.083898
19477039,322.340394
19477040,84.409858
19477041,126.301746
19477042,161.468302
19477043,183.682995
19477044,173.223985
19477045,222.780330
19477046,142.852979
19477047,73.634891
19477048,45.935553
19477049,274.874692
19477050,160.105811
19477051,198.325860
19477052,139.040981
19477053,130.713032
19477054,204.892374
19477055,101.893989
19477056,148.290504
19477057,291.132610
19477058,118.766769
19477059,289.307851
19477060,166.279535
19477061,163.354030
19477062,62.214843
19477063,124.757767
19477064,128.747423
19477065,378.034839
19477066,111.655519
19477067,168.352838
19477068,321.774143
19477069,176.054384
19477070,156.403702
19477071,190.129224
19477072,240.204627
19477073,124.260991
19477074,156.821356
19477075,290.293356
19477076,140.863046
19477077,219.043404
19477078,138.221222
19477079,297.179094
19477080,80.006373
19477081,295.501433
19477082,140.737808
19477083,231.437541
19477084,143.161568
19477085,119.756573
19477086,220.639927
19477087,139.997911
19477088,93.230193
19477089,206.549793
19477090,216.514508
19477091,132.469353
19477092,211.598741
19477093,456.596147
19477094,295.999871
19477095,57.129739
19477096,353.615895
19477097,105.407395
19477098,128.139376
19477099,161.709291
19477100,150.935049
19477101,270.398747
19477102,319.662774
19477103,289.701724
19477104,121.410130
19477105,905204.000000
19477106,269.423696
19477107,45.549668
19477108,101.768068
19477109,185.633732
19477110,58.091337
19477111,40.790156
19477112,105.396199
19477113,61.066308
19477114,53.829294
19477115,41.624855
19477116,128.536889
19477117,54.912764
19477118,7.143846
19477119,122.086646
19477120,9.412467
19477121,135.385862
19477122,29.187675
19477123,96.883321
19477124,31.781966
19477125,44.310561
19477126,66.314949
19477127,59.481548
19477128,76.074593
19477129,10.597625
