block_number,elapsed_time_ms
19476587,38.347155
19476588,4324.602546
19476589,1199.008604
19476590,6719.479508
19476591,4291.037720
19476592,2887.689683
19476593,2780.027539
19476594,5271.813714
19476595,2695.361450
19476596,2591.841727
19476597,1768.706305
19476598,2768.048806
19476599,1520.043599
19476600,4471.491636
19476601,1645.751275
19476602,2007.441547
19476603,26.483991
19476604,3301.340235
19476605,1454.023194
19476606,2093.880627
19476607,138.015537
19476608,3400.006178
19476609,1804.674117
19476610,899.272467
19476611,1198.217998
19476612,1709.194107
19476613,1920.690997
19476614,1539.147089
19476615,1862.266191
19476616,1648.273089
19476617,1321.694400
19476618,1821.608817
19476619,1802.193848
19476620,1043.093855
19476621,1769.881867
19476622,1362.138392
19476623,1137.878453
19476624,1439.405990
19476625,1384.772244
19476626,1259.988990
19476627,1500.127564
19476628,1463.584571
19476629,1947.754901
19476630,937.941620
19476631,1660.440575
19476632,1220.305875
19476633,1323.378732
19476634,1271.598298
19476635,1571.600070
19476636,2428.531400
19476637,328.151615
19476638,1853.192077
19476639,1018.040563
19476640,1271.383642
19476641,1045.137435
19476642,1070.060101
19476643,810.021495
19476644,1579.040327
19476645,719.660663
19476646,1587.120525
19476647,372.102958
19476648,1591.852635
19476649,974.888246
19476650,1036.882389
19476651,874.147630
19476652,825.424858
19476653,507.718714
19476654,953.779303
19476655,832.676755
19476656,940.898351
19476657,743.930542
19476658,1137.161898
19476659,1910.064120
19476660,699.737931
19476661,1401.108507
19476662,755.325090
19476663,1606.447886
19476664,2661.931575
19476665,1698.630412
19476666,1669.032767
19476667,1311.556827
19476668,961.107366
19476669,1184.973964
19476670,1036.049395
19476671,407.086579
19476672,1863.629664
19476673,896.192560
19476674,508.517387
19476675,1797.245601
19476676,383.104284
19476677,1697.422740
19476678,772.026311
19476679,862.506749
19476680,1257.907624
19476681,708.652406
19476682,1018.873245
19476683,556.158200
19476684,1045.381427
19476685,753.479466
19476686,708.244847
19476687,1115.582661
19476688,669.873083
19476689,830.046312
19476690,583.707396
19476691,812.807015
19476692,1612.575729
19476693,832.881314
19476694,743.516568
19476695,662.410729
19476696,1263.218404
19476697,649.615142
19476698,689.925032
19476699,708.868240
19476700,883.509835
19476701,1084.695991
19476702,912.804677
19476703,729.072345
19476704,154.624579
19476705,2452.596467
19476706,1119.623141
19476707,726.148579
19476708,717.827705
19476709,716.622897
19476710,272.551878
19476711,619.303616
19476712,392.334772
19476713,288.149044
19476714,180.999502
19476715,558.225780
19476716,348.108635
19476717,47.382648
19476718,1607.672811
19476719,594.380340
19476720,270.286988
19476721,40.055281
19476722,860.128076
19476723,940.705010
19476724,539.649916
19476725,186.720867
19476726,480.018168
19476727,253.094214
19476728,552.245428
19476729,328.310819
19476730,325.729163
19476731,521.872799
19476732,283.244697
19476733,1113.908119
19476734,481.827562
19476735,962.045753
19476736,665.010090
19476737,769.706975
19476738,1245.399139
19476739,768.923300
19476740,218.422304
19476741,1774.430803
19476742,110.403279
19476743,35.152327
19476744,1552.163369
19476745,34.131042
19476746,857.142471
19476747,1282.172396
19476748,1937.765069
19476749,1202.308891
19476750,988.791476
19476751,235.331662
19476752,56.082934
19476753,917.188888
19476754,16.225027
19476755,1645.849297
19476756,1475.273967
19476757,1429.357154
19476758,467.631421
19476759,1018.836074
19476760,630.189530
19476761,449.551359
19476762,641.920348
19476763,1181.791685
19476764,611.231467
19476765,712.003402
19476766,847.997314
19476767,882.970609
19476768,974.568973
19476769,763.078946
19476770,578.489741
19476771,734.214922
19476772,1133.964062
19476773,872.862447
19476774,551.637395
19476775,801.995497
19476776,677.011188
19476777,945.795867
19476778,721.846824
19476779,287.531907
19476780,1616.683569
19476781,465.836568
19476782,671.433867
19476783,799.106161
19476784,810.526799
19476785,419.362162
19476786,856.422535
19476787,736.656210
19476788,735.745234
19476789,690.850581
19476790,652.010826
19476791,794.244579
19476792,659.043604
19476793,1210.513291
19476794,565.981242
19476795,685.347974
19476796,549.806865
19476797,932.496694
19476798,771.412365
19476799,582.683917
19476800,603.100368
19476801,331.428827
19476802,1287.180735
19476803,662.164419
19476804,1032.496658
19476805,371.353246
19476806,529.700663
19476807,682.168266
19476808,462.086070
19476809,1214.224185
19476810,122.398410
19476811,103.442957
19476812,275.986995
19476813,560.362702
19476814,48.900625
19476815,211.997915
19476816,358.173759
19476817,470.516978
19476818,282.038476
19476819,40.484497
19476820,422.225215
19476821,280.919282
19476822,453.157586
19476823,603.132356
19476824,36.311103
19476825,379.154447
19476826,274.551933
19476827,330.387373
19476828,6.008295
19476829,579.074841
19476830,368.113843
19476831,127.158323
19476832,186.052770
19476833,304.984617
19476834,37.868070
19476835,20.597297
19476836,49.630383
19476837,691.550275
19476838,410.511343
19476839,1279.586531
19476840,89.344135
19476841,442.879109
19476842,1459.858761
19476843,1217.399420
19476844,387.295021
19476845,640.877813
19476846,643.623099
19476847,306.588163
19476848,958.437868
19476849,975.264355
19476850,684.852484
19476851,531.020662
19476852,648.097791
19476853,926.693313
19476854,603.377711
19476855,689.494226
19476856,677.083143
19476857,876.062471
19476858,468.218424
19476859,478.933980
19476860,1132.255407
19476861,749.933344
19476862,353.867580
19476863,523.103028
19476864,1411.898491
19476865,356.737035
19476866,547.865691
19476867,348.835252
19476868,575.238676
19476869,292.021978
19476870,1853.445973
19476871,481.722452
19476872,580.823067
19476873,564.311790
19476874,643.896233
19476875,1618.927320
19476876,591.404892
19476877,495.876792
19476878,777.041422
19476879,719.156831
19476880,1433.747056
19476881,334.482161
19476882,505.754982
19476883,616.750478
19476884,759.257873
19476885,492.423704
19476886,629.362662
19476887,5.544841
19476888,1330.187508
19476889,786.758080
19476890,424.140555
19476891,475.456708
19476892,708.278623
19476893,52.530345
19476894,38.782431
19476895,363.863797
19476896,36.715639
19476897,17.926862
19476898,421.745522
19476899,220.359123
19476900,270.060655
19476901,101.398232
19476902,236.629133
19476903,232.695424
19476904,186.846262
19476905,26.615507
19476906,274.736283
19476907,33.173703
19476908,642.783011
19476909,110.598721
19476910,30.678226
19476911,429.789591
19476912,453.204939
19476913,703.301173
19476914,342.726533
19476915,56.911177
19476916,116.728030
19476917,329.903789
19476918,573.044586
19476919,819.323078
19476920,518.509486
19476921,492.297690
19476922,301.378413
19476923,93.940270
19476924,53.905428
19476925,75.397555
19476926,327.794862
19476927,298.702087
19476928,377.166125
19476929,376.020779
19476930,121.359224
19476931,989.805416
19476932,390.813102
19476933,399.443601
19476934,156.212628
19476935,225.625371
19476936,13.818931
19476937,647.974593
19476938,534.833748
19476939,827.166219
19476940,477.952411
19476941,223.108474
19476942,845.419070
19476943,550.005432
19476944,601.007281
